,date,gold
424,1995-05-01,385.22
425,1995-06-01,387.56
426,1995-07-01,386.23
427,1995-08-01,383.67
428,1995-09-01,383.06
429,1995-10-01,383.14
430,1995-11-01,385.31
431,1995-12-01,387.44
432,1996-01-01,399.45
433,1996-02-01,404.76
434,1996-03-01,396.21
435,1996-04-01,392.85
436,1996-05-01,391.93
437,1996-06-01,385.27
438,1996-07-01,383.47
439,1996-08-01,387.35
440,1996-09-01,383.14
441,1996-10-01,381.07
442,1996-11-01,377.85
443,1996-12-01,369.0
444,1997-01-01,355.11
445,1997-02-01,346.58
446,1997-03-01,351.81
447,1997-04-01,344.47
448,1997-05-01,343.84
449,1997-06-01,340.76
450,1997-07-01,324.1
451,1997-08-01,324.01
452,1997-09-01,322.82
453,1997-10-01,324.87
454,1997-11-01,306.04
455,1997-12-01,288.74
456,1998-01-01,289.1
457,1998-02-01,297.49
458,1998-03-01,295.94
459,1998-04-01,308.29
460,1998-05-01,299.1
461,1998-06-01,292.32
462,1998-07-01,292.87
463,1998-08-01,284.11
464,1998-09-01,288.98
465,1998-10-01,295.93
466,1998-11-01,294.12
467,1998-12-01,291.68
468,1999-01-01,287.08
469,1999-02-01,287.33
470,1999-03-01,285.96
471,1999-04-01,282.62
472,1999-05-01,276.44
473,1999-06-01,261.31
474,1999-07-01,256.08
475,1999-08-01,256.69
476,1999-09-01,264.74
477,1999-10-01,310.72
478,1999-11-01,293.18
479,1999-12-01,283.07
480,2000-01-01,284.32
481,2000-02-01,299.86
482,2000-03-01,286.39
483,2000-04-01,279.69
484,2000-05-01,275.19
485,2000-06-01,285.73
486,2000-07-01,281.59
487,2000-08-01,274.47
488,2000-09-01,273.68
489,2000-10-01,270.0
490,2000-11-01,266.01
491,2000-12-01,271.45
492,2001-01-01,265.49
493,2001-02-01,261.87
494,2001-03-01,263.03
495,2001-04-01,260.48
496,2001-05-01,272.36
497,2001-06-01,270.23
498,2001-07-01,267.53
499,2001-08-01,272.39
500,2001-09-01,283.42
501,2001-10-01,283.06
502,2001-11-01,276.16
503,2001-12-01,275.85
504,2002-01-01,281.51
505,2002-02-01,295.5
506,2002-03-01,294.06
507,2002-04-01,302.68
508,2002-05-01,314.49
509,2002-06-01,321.18
510,2002-07-01,313.29
511,2002-08-01,310.26
512,2002-09-01,319.14
513,2002-10-01,316.56
514,2002-11-01,319.07
515,2002-12-01,331.92
516,2003-01-01,356.859
517,2003-02-01,358.97
518,2003-03-01,340.55
519,2003-04-01,328.18
520,2003-05-01,355.683
521,2003-06-01,356.352
522,2003-07-01,351.02
523,2003-08-01,359.768
524,2003-09-01,378.945
525,2003-10-01,378.92
526,2003-11-01,389.91
527,2003-12-01,406.953
528,2004-01-01,413.788
529,2004-02-01,404.878
530,2004-03-01,406.667
531,2004-04-01,403.26
532,2004-05-01,383.779
533,2004-06-01,392.373
534,2004-07-01,398.091
535,2004-08-01,400.51
536,2004-09-01,405.275
537,2004-10-01,420.464
538,2004-11-01,439.375
539,2004-12-01,442.079
540,2005-01-01,424.03
541,2005-02-01,423.35
542,2005-03-01,433.85
543,2005-04-01,429.233
544,2005-05-01,421.873
545,2005-06-01,430.657
546,2005-07-01,424.479
547,2005-08-01,437.93
548,2005-09-01,456.048
549,2005-10-01,469.898
550,2005-11-01,476.666
551,2005-12-01,510.097
552,2006-01-01,549.864
553,2006-02-01,554.995
554,2006-03-01,557.093
555,2006-04-01,610.653
556,2006-05-01,675.393
557,2006-06-01,596.145
558,2006-07-01,633.71
559,2006-08-01,632.593
560,2006-09-01,598.186
561,2006-10-01,585.78
562,2006-11-01,627.827
563,2006-12-01,629.791
564,2007-01-01,631.166
565,2007-02-01,664.745
566,2007-03-01,654.895
567,2007-04-01,679.368
568,2007-05-01,667.31
569,2007-06-01,655.66
570,2007-07-01,665.38
571,2007-08-01,665.411
572,2007-09-01,712.653
573,2007-10-01,754.604
574,2007-11-01,806.248
575,2007-12-01,803.203
576,2008-01-01,889.595
577,2008-02-01,922.298
578,2008-03-01,968.434
579,2008-04-01,909.705
580,2008-05-01,888.663
581,2008-06-01,889.488
582,2008-07-01,939.772
583,2008-08-01,839.025
584,2008-09-01,829.932
585,2008-10-01,806.62
586,2008-11-01,760.863
587,2008-12-01,816.092
588,2009-01-01,858.69
589,2009-02-01,943.0
590,2009-03-01,924.273
591,2009-04-01,890.2
592,2009-05-01,928.645
593,2009-06-01,945.67
594,2009-07-01,934.228
595,2009-08-01,949.375
596,2009-09-01,996.591
597,2009-10-01,1043.159
598,2009-11-01,1127.036
599,2009-12-01,1134.724
600,2010-01-01,1117.963
601,2010-02-01,1095.413
602,2010-03-01,1113.337
603,2010-04-01,1148.688
604,2010-05-01,1205.434
605,2010-06-01,1232.92
606,2010-07-01,1192.966
607,2010-08-01,1215.81
608,2010-09-01,1270.977
609,2010-10-01,1342.024
610,2010-11-01,1369.886
611,2010-12-01,1390.553
612,2011-01-01,1360.46
613,2011-02-01,1374.68
614,2011-03-01,1423.26
615,2011-04-01,1480.89
616,2011-05-01,1512.58
617,2011-06-01,1529.36
618,2011-07-01,1572.75
619,2011-08-01,1759.01
620,2011-09-01,1772.14
621,2011-10-01,1666.43
622,2011-11-01,1739.0
623,2011-12-01,1639.97
624,2012-01-01,1654.05
625,2012-02-01,1744.82
626,2012-03-01,1675.95
627,2012-04-01,1649.2
628,2012-05-01,1589.04
629,2012-06-01,1598.76
630,2012-07-01,1594.29
631,2012-08-01,1630.31
632,2012-09-01,1744.81
633,2012-10-01,1746.58
634,2012-11-01,1721.64
635,2012-12-01,1684.762
636,2013-01-01,1671.84782608696
637,2013-02-01,1627.57
638,2013-03-01,1593.08619047619
639,2013-04-01,1487.85727272727
640,2013-05-01,1414.02695652174
641,2013-06-01,1343.35
642,2013-07-01,1285.51565217391
643,2013-08-01,1351.74181818182
644,2013-09-01,1348.6
645,2013-10-01,1316.58
646,2013-11-01,1275.86
647,2013-12-01,1221.5119047619
648,2014-01-01,1244.27
649,2014-02-01,1299.58
650,2014-03-01,1336.08
651,2014-04-01,1298.45
652,2014-05-01,1288.74
653,2014-06-01,1279.1
654,2014-07-01,1310.59
655,2014-08-01,1295.13
656,2014-09-01,1236.55
657,2014-10-01,1222.49
658,2014-11-01,1175.33
659,2014-12-01,1200.62
660,2015-01-01,1250.75
661,2015-02-01,1227.08
662,2015-03-01,1178.63
663,2015-04-01,1198.93
664,2015-05-01,1198.63
665,2015-06-01,1181.5
666,2015-07-01,1128.31
667,2015-08-01,1117.93
668,2015-09-01,1124.77
669,2015-10-01,1159.25
670,2015-11-01,1086.44
671,2015-12-01,1075.74
672,2016-01-01,1097.91
673,2016-02-01,1199.5
674,2016-03-01,1245.14
675,2016-04-01,1242.26
676,2016-05-01,1260.95
677,2016-06-01,1276.4
678,2016-07-01,1336.66
679,2016-08-01,1340.17
680,2016-09-01,1326.61
681,2016-10-01,1266.55
682,2016-11-01,1238.35
683,2016-12-01,1157.36
684,2017-01-01,1192.1
685,2017-02-01,1234.2
686,2017-03-01,1231.42
687,2017-04-01,1266.88
688,2017-05-01,1246.04
689,2017-06-01,1260.26
690,2017-07-01,1236.84
691,2017-08-01,1283.04
692,2017-09-01,1314.07
693,2017-10-01,1279.51
694,2017-11-01,1281.9
695,2017-12-01,1264.45
696,2018-01-01,1331.3
697,2018-02-01,1330.73
698,2018-03-01,1324.66
699,2018-04-01,1334.76
700,2018-05-01,1303.45
701,2018-06-01,1281.57
702,2018-07-01,1237.71
703,2018-08-01,1201.71
704,2018-09-01,1198.39
705,2018-10-01,1215.39
706,2018-11-01,1220.65
707,2018-12-01,1250.4
708,2019-01-01,1291.75
709,2019-02-01,1320.07
710,2019-03-01,1300.9
711,2019-04-01,1285.91
712,2019-05-01,1283.7
713,2019-06-01,1359.04
714,2019-07-01,1412.89
715,2019-08-01,1500.41
716,2019-09-01,1510.58
717,2019-10-01,1494.81
718,2019-11-01,1470.79
719,2019-12-01,1479.13
720,2020-01-01,1560.67
721,2020-02-01,1597.1
722,2020-03-01,1591.93
723,2020-04-01,1683.17
724,2020-05-01,1715.91
725,2020-06-01,1732.22
726,2020-07-01,1846.51
727,2020-08-01,1968.63
728,2020-09-01,1921.92
729,2020-10-01,1900.27
730,2020-11-01,1866.3
731,2020-12-01,1858.42
732,2021-01-01,1866.98
733,2021-02-01,1808.17
734,2021-03-01,1718.23
735,2021-04-01,1760.04
736,2021-05-01,1850.26
737,2021-06-01,1834.57
738,2021-07-01,1807.84
739,2021-08-01,1785.28
740,2021-09-01,1775.14
741,2021-10-01,1776.85
742,2021-11-01,1821.76
743,2021-12-01,1790.43
744,2022-01-01,1816.02
745,2022-02-01,1856.3
746,2022-03-01,1947.83
747,2022-04-01,1936.86
748,2022-05-01,1848.5
749,2022-06-01,1836.57
750,2022-07-01,1732.74
751,2022-08-01,1764.56
752,2022-09-01,1680.78
753,2022-10-01,1664.45
754,2022-11-01,1725.07
755,2022-12-01,1797.55
756,2023-01-01,1897.71
757,2023-02-01,1854.54
758,2023-03-01,1912.73
759,2023-04-01,1999.77
760,2023-05-01,1992.13
761,2023-06-01,1942.9
762,2023-07-01,1951.02
763,2023-08-01,1918.7
764,2023-09-01,1915.95
765,2023-10-01,1916.25
766,2023-11-01,1984.11
767,2023-12-01,2026.18
768,2024-01-01,2034.04
769,2024-02-01,2023.24
770,2024-03-01,2158.01
771,2024-04-01,2331.45
772,2024-05-01,2351.13
773,2024-06-01,2326.44
